"location","humidity","temperature","pressure"
"Hurzuf,UA","100","296.698","1012.1"
"Novinki,RU","87","295.798","1027.42"
"Holubynka,UA","100","296.698","1012.1"
"Mar’ina Roshcha,RU","87","295.798","1027.42"
"Zavety Il’icha,RU","87","295.798","1027.42"
"Il’ichëvka,UA","100","296.698","1012.1"
"Partyzans’ke,UA","98","296.948","1031.71"
"Yurevichi,RU","100","296.698","1012.1"
"Ptitsefabrika,GE","100","296.698","1012.1"
"Orekhovo,GE","100","296.698","1012.1"
"Mkuze,ZA","98","296.948","1031.71"
"İstanbul,TR","100","296.698","1012.1"
"Vavibet,RU","87","295.798","1027.42"
"Rīgas Rajons,LV","81","304.898","1019.15"
"Bucha,UA","100","296.698","1012.1"
"Republic of Poland,PL","81","304.898","1019.15"
